stn,wban,year,mo,da,temp,count_temp,dewp,count_dewp,slp,count_slp,stp,count_stp,visib,count_visib,wdsp,count_wdsp,mxpsd,gust,max,flag_max,min,flag_min,prcp,flag_prcp,sndp,fog,rain_drizzle,snow_ice_pellets,hail,thunder,tornado_funnel_cloud
724500,03928,2015,01,01,22.3,24,12.3,24,1027.8,24,977.2,24,9.9,24,6.7,24,8.9,999.9,32.0,,7.0,,0.0,G,1.2,0,0,0,0,0,0
724500,03928,2015,01,02,32.0,24,26.7,24,1022.8,16,973.3,24,5.8,24,5.1,24,9.9,999.9,37.9,,17.1,,0.0,G,999.9,0,0,1,0,0,0
724500,03928,2015,01,03,34.6,24,28.3,24,1013.8,19,964.7,24,5.7,24,3.8,24,9.9,999.9,41.0,,30.0,,0.0,G,999.9,1,0,1,0,0,0
724500,03928,2015,01,04,17.3,24,8.6,24,1032.3,19,978.5,24,6.8,24,15.8,24,29.9,38.1,41.0,,10.0,,0.31,G,3.1,1,1,1,0,0,0
724500,03928,2015,01,05,15.3,24,4.8,24,1036.8,24,985.4,24,10.0,24,6.9,24,17.1,999.9,35.1,,3.9,,0.0,G,2.0,0,0,0,0,0,0
724500,03928,2015,01,06,27.0,24,16.9,24,1030.7,24,980.4,24,10.0,24,8.3,24,17.1,28.0,34.0,*,19.0,*,0.0,G,1.2,0,0,0,0,0,0
724500,03928,2015,01,07,19.2,24,6.7,24,1043.8,24,992.4,24,9.7,24,13.5,24,22.9,32.1,30.9,,12.9,,0.0,G,1.2,0,0,1,0,0,0
724500,03928,2015,01,08,14.6,24,3.3,24,1034.4,24,983.1,24,10.0,24,11.3,24,22.0,31.1,37.0,,0.0,,0.0,G,1.2,0,0,0,0,0,0
724500,03928,2015,01,09,26.1,24,7.7,24,1033.8,24,983.4,24,10.0,24,12.0,24,22.0,28.0,34.0,*,18.0,*,0.0,G,1.2,0,0,0,0,0,0
724500,03928,2015,01,10,22.3,24,4.8,24,1030.3,24,979.7,24,10.0,24,10.8,24,21.0,27.0,37.9,,10.9,,0.0,G,1.2,0,0,0,0,0,0
724500,03928,2015,01,11,31.1,24,19.7,24,1021.3,21,971.5,24,7.6,24,10.5,24,15.0,999.9,34.0,*,27.0,*,0.0,G,1.2,0,1,0,0,0,0
724500,03928,2015,01,12,29.2,24,19.7,24,1031.4,20,980.1,24,6.9,24,10.8,24,20.0,27.0,35.1,,19.0,,0.0,G,999.9,0,1,0,0,0,0
724500,03928,2015,01,13,22.0,24,4.1,24,1036.4,24,985.7,24,10.0,24,7.5,24,15.0,999.9,34.0,,12.9,,0.0,G,999.9,0,0,0,0,0,0
724500,03928,2015,01,14,30.6,24,13.8,24,1029.5,24,979.6,24,9.5,24,4.3,24,8.0,999.9,39.9,,12.9,,0.01,G,999.9,0,0,1,0,0,0
724500,03928,2015,01,15,31.7,24,18.7,24,1024.4,24,974.7,24,10.0,24,5.7,24,15.0,999.9,54.0,,17.1,,0.0,I,999.9,0,0,0,0,0,0
724500,03928,2015,01,16,38.1,24,22.0,24,1022.0,24,972.8,24,10.0,24,7.3,24,17.1,21.0,64.9,,17.1,,0.0,G,999.9,0,0,0,0,0,0
724500,03928,2015,01,17,45.5,24,24.7,24,1013.2,24,964.9,24,10.0,24,13.2,24,27.0,35.9,64.9,,23.0,,0.0,G,999.9,0,0,0,0,0,0
724500,03928,2015,01,18,43.1,24,20.8,24,1018.7,24,970.0,24,10.0,24,9.3,24,18.1,22.9,64.9,,25.0,,0.0,G,999.9,0,0,0,0,0,0
724500,03928,2015,01,19,47.3,24,24.5,24,1015.3,24,966.9,24,10.0,24,6.7,24,14.0,20.0,73.0,,25.0,,0.0,G,999.9,0,0,0,0,0,0
724500,03928,2015,01,20,45.9,24,35.5,24,1018.1,24,969.7,24,9.8,24,6.3,24,12.0,999.9,73.0,,27.0,,0.0,G,999.9,0,1,0,0,0,0
724500,03928,2015,01,21,38.7,24,27.9,24,1023.6,24,974.5,24,10.0,24,6.9,24,8.9,999.9,53.1,,30.0,,0.12,G,999.9,0,0,0,0,0,0
724500,03928,2015,01,22,39.1,24,24.4,24,1029.7,24,980.3,24,10.0,24,7.4,24,11.1,999.9,46.9,,30.0,,0.0,G,999.9,0,0,0,0,0,0
724500,03928,2015,01,23,32.9,24,20.0,24,1025.5,24,975.9,24,9.1,24,5.5,24,14.0,999.9,51.1,,19.9,,0.0,G,999.9,0,0,0,0,0,0
724500,03928,2015,01,24,43.9,24,25.4,24,1017.0,24,968.2,24,10.0,24,9.1,24,20.0,25.1,66.0,,19.9,,0.0,G,999.9,0,0,0,0,0,0
724500,03928,2015,01,25,50.8,24,30.4,24,1012.2,24,964.2,24,10.0,24,17.5,24,28.9,38.1,59.0,*,46.9,*,0.0,G,999.9,0,0,0,0,0,0
724500,03928,2015,01,26,43.4,24,28.2,24,1018.9,24,970.1,24,10.0,24,7.6,24,17.1,22.9,9999.9,,26.1,*,0.0,G,999.9,0,0,0,0,0,0
724500,03928,2015,01,27,50.6,24,32.4,24,1018.4,24,970.1,24,10.0,24,6.1,24,14.0,999.9,73.9,,25.0,,0.0,G,999.9,0,0,0,0,0,0
724500,03928,2015,01,28,54.6,24,35.4,24,1012.5,24,964.7,24,10.0,24,10.0,24,18.1,22.0,73.0,,32.0,,0.0,G,999.9,0,0,0,0,0,0
724500,03928,2015,01,29,50.4,24,29.7,24,1022.6,24,974.1,24,10.0,24,15.0,24,21.0,29.9,72.0,,37.9,,0.0,G,999.9,0,0,0,0,0,0
724500,03928,2015,01,30,34.0,24,23.2,24,1033.5,24,983.9,24,10.0,24,4.5,24,9.9,999.9,57.9,,21.0,,0.0,G,999.9,0,0,0,0,0,0
